$,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,2.1.E+09,2.03E+09,2.01E+09,1.98E+09,1.96E+09,1.94E+09,1.92E+09,1.90E+09,1.88E+09,1.86E+09,1.84E+09,1.82E+09,1.80E+09,1.78E+09,1.76E+09,1.74E+09,1.72E+09,1.70E+09,1.68E+09,1.66E+09,1.64E+09,1.63E+09,1.61E+09,1.59E+09,1.57E+09,1.56E+09,1.54E+09,1.52E+09,1.50E+09,1.49E+09,1.47E+09,1.46E+09
cooling and ventilation,0.0.E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
envelope,0.0.E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
lighting,2.9.E+09,2.89E+09,2.90E+09,2.91E+09,2.92E+09,2.93E+09,2.94E+09,2.96E+09,2.97E+09,2.98E+09,2.99E+09,3.00E+09,3.02E+09,3.03E+09,3.04E+09,3.05E+09,3.06E+09,3.08E+09,3.09E+09,3.10E+09,3.11E+09,3.13E+09,3.14E+09,3.15E+09,3.16E+09,3.18E+09,3.19E+09,3.20E+09,3.21E+09,3.23E+09,3.24E+09,3.25E+09
appliances,1.2.E+10,1.25E+10,1.27E+10,1.29E+10,1.32E+10,1.34E+10,1.36E+10,1.38E+10,1.40E+10,1.42E+10,1.45E+10,1.47E+10,1.49E+10,1.52E+10,1.54E+10,1.57E+10,1.59E+10,1.62E+10,1.64E+10,1.67E+10,1.70E+10,1.72E+10,1.75E+10,1.78E+10,1.81E+10,1.84E+10,1.86E+10,1.89E+10,1.93E+10,1.96E+10,1.99E+10,2.02E+10
other component,0.0.E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
