$,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,7.66E+09,7.58E+09,7.49E+09,7.41E+09,7.33E+09,7.25E+09,7.17E+09,7.09E+09,7.01E+09,6.93E+09,6.86E+09,6.78E+09,6.71E+09,6.63E+09,6.56E+09,6.49E+09,6.42E+09,6.35E+09,6.28E+09,6.21E+09,6.14E+09,6.07E+09,6.01E+09,5.94E+09,5.87E+09,5.81E+09,5.75E+09,5.68E+09,5.62E+09,5.56E+09,5.50E+09,5.44E+09
cooling and ventilation,1.52E+10,1.54E+10,1.56E+10,1.58E+10,1.60E+10,1.61E+10,1.63E+10,1.65E+10,1.67E+10,1.69E+10,1.71E+10,1.73E+10,1.76E+10,1.78E+10,1.80E+10,1.82E+10,1.84E+10,1.86E+10,1.89E+10,1.91E+10,1.93E+10,1.95E+10,1.98E+10,2.00E+10,2.03E+10,2.05E+10,2.07E+10,2.10E+10,2.12E+10,2.15E+10,2.18E+10,2.20E+10
envelope,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
lighting,2.41E+09,2.42E+09,2.43E+09,2.44E+09,2.45E+09,2.46E+09,2.47E+09,2.48E+09,2.49E+09,2.50E+09,2.51E+09,2.52E+09,2.53E+09,2.54E+09,2.55E+09,2.56E+09,2.57E+09,2.58E+09,2.59E+09,2.60E+09,2.61E+09,2.62E+09,2.63E+09,2.64E+09,2.65E+09,2.66E+09,2.67E+09,2.69E+09,2.70E+09,2.71E+09,2.72E+09,2.73E+09
appliances,9.25E+10,9.40E+10,9.55E+10,9.70E+10,9.86E+10,1.00E+11,1.02E+11,1.03E+11,1.05E+11,1.07E+11,1.08E+11,1.10E+11,1.12E+11,1.14E+11,1.16E+11,1.17E+11,1.19E+11,1.21E+11,1.23E+11,1.25E+11,1.27E+11,1.29E+11,1.31E+11,1.33E+11,1.35E+11,1.38E+11,1.40E+11,1.42E+11,1.44E+11,1.47E+11,1.49E+11,1.51E+11
other component,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
