load factor,urban residential,rural residential,commercial
heating,2.2857,4.2388,5.9844
cooling & ventilation,0.0000,0.0000,0.0000
envelope,0.0000,0.0000,0.0000
lighting,1.7231,1.7231,1.1174
appliances,1.8507,1.8507,1.3029
other,1.4764,1.9695,1.1174
