Number of Vehicles,battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,908,1217,9802,2691698,0,95018,0
HDVs,256,0,2767,759838,0,26822,0
aircraft,0,0,0,36,0,0,0
rail,88,0,0,127,0,0,0
ships,0,0,2,5644,0,1,0
motorbikes,0,0,1980784,0,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
