Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98,
iron and steel 241,0,9.95627E-05,1.44843E-06,0.000250957,0,0,0,0,0,0,0,0,0,0.000653351,0.006703077,0.319318672,0.000614735,0.198503249,0.05748172,0.112573236,0.002022765,0.08380282,0.051211807,0.013669044,0.011114147,0.002154867,0.000160784,0.134884605,0,0.002320117,0.000960937,0.000261404,0.000803849,0.000432845,0,0,0,0,0,0,0,0,
other metals 242,0,2.72827E-06,3.48017E-08,6.02979E-06,0,0,0,0,0,0,0.034540742,0,0.026293218,0.000521197,0.001060393,0.002498527,0.146733088,0.158351788,0.009093322,0.000880836,0.482820139,0.014613396,0.083049624,0.039380252,0,0,0,0,0,0.000105634,0,0,0,4.90519E-05,0,0,0,0,0,0,0,0,
metal products except machinery and vehicles 25,0.003334844,0.000439209,6.95678E-07,0.000613759,3.95124E-06,0.013550107,0.004823143,0.004022359,0.003050355,0.006850127,0.012244327,0.006505607,0.016854658,0.004894296,0.005276187,0.051853769,0.019743953,0.175695681,0.054633747,0.041902863,0.131286417,0.087837304,0.073813049,0.0164029,0.007862681,0,0.005042057,0.169550191,0.020214526,0.008342377,0.004924558,0.000823174,0.001309176,0.002294351,0.002441864,0.006258759,0.012109223,0.010356191,0.004622947,0.003247916,0.004966704,0,
computers and electronics 26,0.001178576,0,0,0.000102383,0,0.004953784,0.002714902,0.000480139,0.002080601,0.001782868,0.006387304,0.001181941,0.005024981,0,0,0.003396863,0,0.007034973,0.662477221,0.038790615,0.028741242,0.024644765,0.014341789,0.005272111,0.000866259,0,0.005234915,0.019272037,0.024367038,0.004819627,0.00416944,0.004385973,0.026578265,0.021253197,0.00854129,0.001095022,0.019076098,0.013138501,0.007552181,0.019972239,0.009090861,0,
appliances and electrical equipment 27,0.001170402,0.000198307,0,0.000252745,0,0.002266926,0.001784766,0.000567704,0.001460087,0.002276647,0.006325753,0.001719305,0.005579826,0.003402333,0,0.021540574,0.001437809,0.018670057,0.208261641,0.253590433,0.086040132,0.080827758,0.041609556,0.007955626,0.026789983,0,0.005433023,0.116773889,0.021388035,0.008956884,0.003005718,0.001957799,0.012071476,0.007170173,0.003316788,0.005815073,0.013700707,0.007102126,0.005488449,0.005643984,0.008447506,0,
other machinery 28,0.007698517,0.00120742,2.50283E-06,0.002055236,1.63258E-05,0.00656841,0.008005079,0.002280169,0.007257721,0.00983901,0,0.01678654,0.014954424,0.008899846,0.004291392,0.034340855,0.00823862,0.037600109,0.072310553,0.038808217,0.279785951,0.108869439,0.097388781,0.010918326,0.01120853,2.88656E-05,0.007306889,0.08619473,0.02689946,0.014319532,0.00265929,0.00156002,0.003477393,0.004654664,0.003803909,0.003528185,0.014210693,0.024350823,0.006321709,0.005012018,0.006339849,0,
road vehicles 29,0.00159121,0,0,0.000275757,0,0.002091266,0.001742942,0.000712482,0.0009856,0.001504128,0.003881002,0.000855683,0.005616732,0.000295618,0.002680973,0.002031489,0.001664181,0.008217291,0.012563431,0.013399937,0.033750531,0.77423428,0.009894262,0.003261584,0.000521175,7.75383E-05,0.0049692,0.013294384,0.037905356,0.029008568,0.001794399,0.000792966,0.001265315,0.001490934,0.002167792,0.00116372,0.009196294,0.007863689,0.001793079,0.002294456,0.003150753,0,
nonroad vehicles 30,0.003802059,0.000420784,1.0162E-06,0.0004921,5.85833E-06,0.003913367,0.0020387,0.001212675,0.001775075,0.003556009,0,0.007223326,0.0064676,0.002551647,0.002105728,0.022331968,0,0.041986678,0.045630562,0.043779328,0.08575429,0.041541445,0.418519365,0.00572945,0.003878659,0.000900209,0.00419024,0.063598071,0.014950468,0.077915839,0.001810225,0.000755725,0.0027417,0.00235505,0.001780933,0.002642109,0.010339959,0.061325038,0.003034617,0.002700692,0.004241434,0,
other manufacturing 31T33,0.012338655,0,0,0.000888952,0,0.017334566,0.017779042,0.004195854,0.010791879,0.013618746,0.026134986,0.00622287,0.0167123,0.016427835,0,0.034089536,0.057739216,0.032748995,0.081019095,0.030597731,0.0612488,0.043896455,0.051985919,0.034189098,0,0,0.039647264,0.066244711,0.040340646,0.060590975,0.010702983,0.005031469,0.01262312,0.008818405,0.012960922,0.041354052,0.026277424,0.023183871,0.016285603,0.050865839,0.015112186,0,
energy pipelines and gas processing 352T353,0.002848317,0.003347192,0.000198318,0.005904706,0,0,0.001686811,0.00211697,0.009230865,0.003869401,0.003787707,0,0.001304455,0.011027069,0.003161237,0.160476746,0.043304518,0.01019325,0.02265614,0.018074748,0.022572824,0.009676493,0.016940627,0.005284308,0.537547373,0.004183349,0.008955497,0.001844508,0,0.006527997,0.058429285,0.014701329,0.002028579,0.00176004,0,0,0.001039697,0,0,0,0.005319646,0,
water and waste 36T39,0,0,0,0,8.08412E-06,0.029569005,0.025793512,0.003274373,0.017413498,0.0315168,0.035958889,0.002492717,0.012383944,0.042567096,0,0.03354954,0.018530492,0.039348357,0,0.003778737,0.009659167,0.02328417,0.002778473,0.006483867,0.068159196,0,0.049112146,0.030776496,0.101226617,0.031435967,0.007408636,0,0.01112477,0.010180042,0.031495719,0,0.050396652,0.072592675,0.087505176,0.072786694,0.037408491,0,
construction 41T43,0.004706008,0,0,0.001065511,0,0.005007903,0.003782565,0.001172062,0.002947914,0.008239953,0.012694724,0.001458816,0.005540658,0,0,0,0.016781801,0.010601836,0.014970432,0.006339792,0.010282183,0.007653922,0.006108931,0.003782565,0.005881304,0,0.031038659,0.387615208,0.054163485,0.025003996,0.010584078,0.003658255,0.010868214,0.006588411,0.022713147,0.154019641,0.037630303,0.056631919,0.02926604,0.022020564,0.019179201,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
