Fraction Owned by Entity (dimensionless),government,domestic industries,labor and consumers,foreign entities
LDVs,0.003041806,0.052133471,0.944824722,0
HDVs,0.002252371,0.079769329,0.9179783,0
aircraft,0.242092457,0.748175182,0.00973236,0
rail,1,0,0,0
ships,0,1,0,0
motorbikes,0.012107408,0,0.987892592,0
