Share that is New (dimensionless),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,0.369733141,0.072,0.087558378,0.087558378,0.072,0.072,0.823550777
HDVs,0.950139409,0.074646273,0.074646273,0.074646273,0.074646273,0.074646273,0.074646273
aircraft,0.08,0.08,0.08,0.08,0.08,0.08,0.08
rail,0.029,0.029,0.029,0.029,0.029,0.029,0.029
ships,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303
motorbikes,0.06,0.06,0.06,0.06,0.06,0.06,0.06
