Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
metal products except machinery and vehicles 25,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,2.E+00,,,
computers and electronics 26,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,,,
appliances and electrical equipment 27,6.E+01,6.E+01,6.E+01,6.E+01,6.E+01,6.E+01,6.E+01,6.E+01,6.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,7.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,8.E+01,9.E+01,,,
other machinery 28,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,3.E+00,4.E+00,4.E+00,4.E+00,4.E+00,4.E+00,4.E+00,,,
road vehicles 29,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,2.E+01,2.E+01,,,
nonroad vehicles 30,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,,,
other manufacturing 31T33,5.E-02,5.E-02,5.E-02,5.E-02,5.E-02,5.E-02,5.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,6.E-02,7.E-02,7.E-02,7.E-02,7.E-02,7.E-02,7.E-02,7.E-02,7.E-02,7.E-02,8.E-02,8.E-02,8.E-02,8.E-02,,,
energy pipelines and gas processing 352T353,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
water and waste 36T39,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
construction 41T43,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
