Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50033000.3,100066000.6,150099000.9,200132001.2,250165001.5,250507402.2,250849803,251192203.7,251534604.5,251877005.2,251980806.9,252084608.7,252188410.4,252292212.1,252396013.8,201916811.1,151437608.3,100958405.5,50479202.76,0
-70,-60,0,0,0,0,0,0,1180306403,2360612806,3540919209,4721225612,5901532015,4721225612,3540919209,2360612806,1180306403,0,54267398.08,108534796.2,162802194.2,217069592.3,271336990.4,269996793.9,268656597.5,267316401,265976204.5,264636008.1,263153004.9,261670001.8,260186998.6,258703995.5,257220992.4,255401193.9,253581395.4,251761596.9,249941798.4,248121999.9
-60,-50,3808849957,4300927371,4793004785,5285082199,5777159613,6269237027,5173454224,4077671422,2981888619,1886105817,790323014.4,632258411.5,474193808.6,316129205.7,158064602.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,85304799.72,170609599.4,255914399.2,341219198.9,426523998.6,341219198.9,255914399.2,170609599.4,85304799.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,394252012.5,315401610,236551207.5,157700805,78850402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81438402.41,162876804.8,244315207.2,325753609.6,407192012.1
-30,-20,2730042906,2259102924,1788162941,1317222958,846282974.8,375342991.9,300274393.5,225205795.1,150137196.8,75068598.38,0,0,0,0,0,0,90045598.34,180091196.7,270136795,360182393.3,450227991.7,447638990.6,445049989.5,442460988.4,439871987.3,437282986.2,434366188.7,431449391.2,428532593.7,425615796.1,422698998.6,338159198.9,253619399.2,169079599.4,84539799.72,0
-20,-10,0,241370998.3,482741996.5,724112994.8,965483993.1,1206854991,1145683997,1084513003,1023342009,962171015.3,901000021.3,909600021.3,918200021.3,926800021.3,935400021.3,944000021.3,916600017.8,889200014.4,861800010.9,834400007.4,807000004,784599999.3,762199994.6,739799990,717399985.3,694999980.6,676799982.5,658599984.3,640399986.2,622199988,603999989.8,588799989.8,573599989.7,558399989.7,543199989.6,527999989.6
-10,0,0,60199998.28,120399996.6,180599994.8,240799993.1,300999991.4,311999994.9,322999998.5,334000002,345000005.6,356000009.1,357400007.1,358800005.1,360200003.2,361600001.2,362999999.2,352400000,341800000.8,331200001.5,320600002.3,310000003.1,301400001.6,292800000.2,284199998.7,275599997.3,266999995.8,259999997.8,252999999.8,246000001.8,239000003.8,232000005.8,226200005.3,220400004.8,214600004.3,208800003.7,203000003.2
0,0,2937000012,2723800018,2510600025,2297400031,2084200038,1871000044,1776800025,1682600006,1588399988,1494199969,1399999950,7313600001,13227200053,19140800104,25054400155,30968000206,30066600005,29165199803,28263799601,27362399399,26460999197,25726599311,24992199425,24257799539,23523399653,22788999767,22189799932,21590600097,20991400263,20392200428,19793000593,19293600424,18794200255,18294800086,17795399917,17295999749
0.1,10,85629000794,83969200512,82309400231,80649599949,78989799667,77329999385,74825599488,72321199590,69816799692,67312399795,64807999897,56613999767,48419999638,40225999508,32031999378,23837999248,23143999319,22449999391,21755999462,21061999533,20367999605,19802399619,19236799633,18671199647,18105599661,17539999675,17078799759,16617599842,16156399926,15695200010,15234000093,14849800079,14465600064,14081400050,13697200036,13313000021
